T  Ainit Etat
1 0 0
1 1 2
1 2 2
1 3 2
1 4 2
1 5 2
1 6 2
1 7 2
1 8 2
1 9 2
1 10 2
1 11 2
1 12 2
1 13 2
1 14 2
1 15 2
1 16 2
1 17 2
1 18 2
1 19 2
1 20 2
1 21 2
1 22 2
1 23 2
1 24 2
1 25 2
1 26 2
1 27 2
1 28 2
1 29 2
1 30 2
1 31 2
1 32 2
1 33 2
1 34 2
1 35 2
1 36 2
1 37 2
1 38 2
1 39 2
1 40 2
1 41 2
1 42 2
1 43 2
1 44 2
1 45 2
1 46 2
1 47 2
1 48 2
1 49 2
1 50 2
6 0 0
6 1 2
6 2 2
6 3 2
6 4 2
6 5 2
6 6 2
6 7 2
6 8 2
6 9 2
6 10 2
6 11 2
6 12 2
6 13 2
6 14 2
6 15 2
6 16 2
6 17 2
6 18 2
6 19 2
6 20 2
6 21 2
6 22 2
6 23 2
6 24 2
6 25 2
6 26 2
6 27 2
6 28 2
6 29 2
6 30 2
6 31 2
6 32 2
6 33 2
6 34 2
6 35 2
6 36 2
6 37 2
6 38 2
6 39 2
6 40 2
6 41 2
6 42 2
6 43 2
6 44 2
6 45 2
6 46 2
6 47 2
6 48 2
6 49 2
6 50 2
11 0 0
11 1 2
11 2 2
11 3 2
11 4 2
11 5 2
11 6 2
11 7 2
11 8 2
11 9 2
11 10 2
11 11 2
11 12 2
11 13 2
11 14 2
11 15 2
11 16 2
11 17 2
11 18 2
11 19 2
11 20 2
11 21 2
11 22 2
11 23 2
11 24 2
11 25 2
11 26 2
11 27 2
11 28 2
11 29 2
11 30 2
11 31 2
11 32 2
11 33 2
11 34 2
11 35 2
11 36 2
11 37 2
11 38 2
11 39 2
11 40 2
11 41 2
11 42 2
11 43 2
11 44 2
11 45 2
11 46 2
11 47 2
11 48 2
11 49 2
11 50 2
16 0 0
16 1 2
16 2 2
16 3 2
16 4 2
16 5 2
16 6 2
16 7 2
16 8 2
16 9 2
16 10 2
16 11 2
16 12 2
16 13 2
16 14 2
16 15 2
16 16 2
16 17 2
16 18 2
16 19 2
16 20 2
16 21 2
16 22 2
16 23 2
16 24 2
16 25 2
16 26 2
16 27 2
16 28 2
16 29 2
16 30 2
16 31 2
16 32 2
16 33 2
16 34 2
16 35 2
16 36 2
16 37 2
16 38 2
16 39 2
16 40 2
16 41 2
16 42 2
16 43 2
16 44 2
16 45 2
16 46 2
16 47 2
16 48 2
16 49 2
16 50 2
21 0 0
21 1 2
21 2 2
21 3 2
21 4 2
21 5 2
21 6 2
21 7 2
21 8 2
21 9 2
21 10 2
21 11 2
21 12 2
21 13 2
21 14 2
21 15 2
21 16 2
21 17 2
21 18 2
21 19 2
21 20 2
21 21 2
21 22 2
21 23 2
21 24 2
21 25 2
21 26 2
21 27 2
21 28 2
21 29 2
21 30 2
21 31 2
21 32 2
21 33 2
21 34 2
21 35 2
21 36 2
21 37 2
21 38 2
21 39 2
21 40 2
21 41 2
21 42 2
21 43 2
21 44 2
21 45 2
21 46 2
21 47 2
21 48 2
21 49 2
21 50 2
26 0 0
26 1 2
26 2 2
26 3 2
26 4 2
26 5 2
26 6 2
26 7 2
26 8 2
26 9 2
26 10 2
26 11 2
26 12 2
26 13 2
26 14 2
26 15 2
26 16 2
26 17 2
26 18 2
26 19 2
26 20 2
26 21 2
26 22 2
26 23 2
26 24 2
26 25 2
26 26 2
26 27 2
26 28 2
26 29 2
26 30 2
26 31 2
