T  Ainit D Etat
1 0 0  0
1 0 0.01  0
1 0 0.02  0
1 0 0.03  0
1 0 0.04  0
1 0 0.05  0
1 0 0.06  0
1 0 0.07  0
1 0 0.08  0
1 0 0.09  0
1 0 0.1  0
1 1 0  1
1 1 0.01  1
1 1 0.02  1
1 1 0.03  1
1 1 0.04  1
1 1 0.05  1
1 1 0.06  1
1 1 0.07  1
1 1 0.08  1
1 1 0.09  1
1 1 0.1  1
1 2 0  1
1 2 0.01  1
1 2 0.02  1
1 2 0.03  1
1 2 0.04  1
1 2 0.05  1
1 2 0.06  1
1 2 0.07  1
1 2 0.08  1
1 2 0.09  1
1 2 0.1  1
1 3 0  1
1 3 0.01  1
1 3 0.02  1
1 3 0.03  1
1 3 0.04  1
1 3 0.05  1
1 3 0.06  1
1 3 0.07  1
1 3 0.08  1
1 3 0.09  1
1 3 0.1  1
1 4 0  1
1 4 0.01  1
1 4 0.02  1
1 4 0.03  1
1 4 0.04  1
1 4 0.05  1
1 4 0.06  1
1 4 0.07  1
1 4 0.08  1
1 4 0.09  1
1 4 0.1  1
1 5 0  1
1 5 0.01  1
1 5 0.02  1
1 5 0.03  1
1 5 0.04  1
1 5 0.05  1
1 5 0.06  1
1 5 0.07  1
1 5 0.08  1
1 5 0.09  1
1 5 0.1  1
1 6 0  1
1 6 0.01  1
1 6 0.02  1
1 6 0.03  1
1 6 0.04  1
1 6 0.05  1
1 6 0.06  1
1 6 0.07  1
1 6 0.08  1
1 6 0.09  1
1 6 0.1  1
1 7 0  1
1 7 0.01  1
1 7 0.02  1
1 7 0.03  1
1 7 0.04  1
1 7 0.05  1
1 7 0.06  1
1 7 0.07  1
1 7 0.08  1
1 7 0.09  1
1 7 0.1  1
1 8 0  1
1 8 0.01  1
1 8 0.02  1
1 8 0.03  1
1 8 0.04  1
1 8 0.05  1
1 8 0.06  1
1 8 0.07  1
1 8 0.08  1
1 8 0.09  1
1 8 0.1  1
1 9 0  1
1 9 0.01  1
1 9 0.02  1
1 9 0.03  1
1 9 0.04  1
1 9 0.05  1
1 9 0.06  1
1 9 0.07  1
1 9 0.08  1
1 9 0.09  1
1 9 0.1  1
1 10 0  1
1 10 0.01  1
1 10 0.02  1
1 10 0.03  1
1 10 0.04  1
1 10 0.05  1
1 10 0.06  1
1 10 0.07  1
1 10 0.08  1
1 10 0.09  1
1 10 0.1  1
1 11 0  1
1 11 0.01  1
1 11 0.02  1
1 11 0.03  1
1 11 0.04  1
1 11 0.05  1
1 11 0.06  1
1 11 0.07  1
1 11 0.08  1
1 11 0.09  1
1 11 0.1  1
1 12 0  1
1 12 0.01  1
1 12 0.02  1
1 12 0.03  1
1 12 0.04  1
1 12 0.05  1
1 12 0.06  1
1 12 0.07  1
1 12 0.08  1
1 12 0.09  1
1 12 0.1  1
1 13 0  1
1 13 0.01  1
1 13 0.02  1
1 13 0.03  1
1 13 0.04  1
1 13 0.05  1
1 13 0.06  1
1 13 0.07  1
1 13 0.08  1
1 13 0.09  1
1 13 0.1  1
1 14 0  1
1 14 0.01  1
1 14 0.02  1
1 14 0.03  1
1 14 0.04  1
1 14 0.05  1
